num,url,full_url,pubdate,title,description,download_url
14,https://www.thisamericanlife.org/episode/14,https://www.thisamericanlife.org/14/accidental-documentaries,"February 21, 1996",Accidental Documentaries,"What unites these stories on the surface is that they're all made from old tapes, recordings found in attics and thrift stores. What unites them under that surface — and not far under it — is that they all end up being stories about fathers and the legacies that fathers leave their children.",https://stream.thisamericanlife.org/14/v1JFAYfgE4SHG9PwVtQrVLzFy2QeEWb63nhv_1-fBQ8/14.mp3
15,https://www.thisamericanlife.org/episode/15,https://www.thisamericanlife.org/15/dawn,"February 28, 1996",Dawn,"Writer Jack Hitt goes on a search for a mysterious neighbor from his childhood in Charleston, South Carolina, and stumbles onto an epic story of the Old South, the New South, gender confusion, Chihuahuas, and changing values in American journalism.
",https://stream.thisamericanlife.org/15/Fq_IXmJTSBTRDLscbh3YpM45KXlVy_E10nJnngKI9Hs/15.mp3
16,https://www.thisamericanlife.org/episode/16,https://www.thisamericanlife.org/16/economy,"March 14, 1996",Economy,"Stories of politics, the economy, and the big picture.",https://stream.thisamericanlife.org/16/hDMpv7rtpZpsOQAr-sBSpreHcV-VHErqkhhwBKheYh8/16.mp3
17,https://www.thisamericanlife.org/episode/17,https://www.thisamericanlife.org/17/name-change-no-theme,"March 21, 1996",Name Change / No Theme,Our first show as This American Life.,https://stream.thisamericanlife.org/17/vN34utGztfVVwFKNIuIHPhFnnwnX4_jYN0HJBu7FZQ4/17.mp3
18,https://www.thisamericanlife.org/episode/18,https://www.thisamericanlife.org/18/liars,"March 28, 1996",Liars,"April first is the one day of the year when we're allowed to enjoy deceiving others. But April Fools' Day is for amateur deceivers. The real pros are the people who can't control their lying, who lie without even knowing what the truth is. Everyone's known someone like this, but it's a topic that's only rarely studied or discussed publicly. Journalist and former This American Life contributing editor Margy Rochlin co-hosts.
",https://stream.thisamericanlife.org/18/d7jXH-Afxjy1Vr-Y9CcMfrKtbCHuAqz0EARNknp5hgs/18.mp3
19,https://www.thisamericanlife.org/episode/19,https://www.thisamericanlife.org/19/rich-guys,"April 12, 1996",Rich Guys,"Men who had comfortable, decent lives, yet decided to do something wild and eccentric with their lives instead.",https://stream.thisamericanlife.org/19/jSLigTTNxmg7Vkd7QuqtX71zbmZ-9XthFj2ewHqrO-E/19.mp3
20,https://www.thisamericanlife.org/episode/20,https://www.thisamericanlife.org/20/from-a-distance,"April 19, 1996",From A Distance,"Stories of hero worship, of people admiring someone from afar, and trying to get closer to them.
",https://stream.thisamericanlife.org/20/YWawbPa1w2KIsw8hLsYBPhAgo0Z1mYqpuWNsg_GrCD0/20.mp3
21,https://www.thisamericanlife.org/episode/21,https://www.thisamericanlife.org/21/factions,"April 26, 1996",Factions,"A show about something most people have gone through. Friends get together to start a business, start a church, do political action together. And after a while, they start fighting and split up. We hear three true stories.",https://stream.thisamericanlife.org/21/XIp4yzWnVKVpzlycZK2JTPQiDECNbUBvIdl_khgswvM/21.mp3
22,https://www.thisamericanlife.org/episode/22,https://www.thisamericanlife.org/22/adult-children,"May 3, 1996",Adult Children,"Stories of the difficult relationships between parents and their grown children, including two long stories from Sandra Tsing Loh about her father.
",https://stream.thisamericanlife.org/22/3c797c3JF1L-UyVvKRfRtveGb-zL6I53SmHeFQ5EGEo/22.mp3
23,https://www.thisamericanlife.org/episode/23,https://www.thisamericanlife.org/23/drama-bug,"May 10, 1996",Drama Bug,"Stories of the people who fall for a life in the theater.
",https://stream.thisamericanlife.org/23/WWPEGF5uXYYl97eYP9v04V-eFOO4aqCI4tIP8T-vV2c/23.mp3
24,https://www.thisamericanlife.org/episode/24,https://www.thisamericanlife.org/24/teenaged-girls,"May 24, 1996",Teenaged Girls,Stories of girls who have to figure out how they're going to act when the ground rules are constantly shifting.,https://stream.thisamericanlife.org/24/4-pRXnBtcIHq4QO8MfVO0OMMVBzPh4ZGZnR2XXFNgCg/24.mp3
26,https://www.thisamericanlife.org/episode/26,https://www.thisamericanlife.org/26/fathers-day-96,"June 14, 1996",Father's Day '96,"Ira's own father, Barry Glass, co-hosts this special Father's Day show.
",https://stream.thisamericanlife.org/26/p114D8y5uVRZ1LCLOwQF50fR3ToIHzLiEtVh5b94LMY/26.mp3
27,https://www.thisamericanlife.org/episode/27,https://www.thisamericanlife.org/27/the-cruelty-of-children,"June 21, 1996",The Cruelty of Children,"Stories about kids being mean to each other, including a mysterious handbook for bullies, a surprising experiment conducted by a teacher who wants to make kids be nice, and a story of youthful backstabbing told by David Sedaris.
",https://stream.thisamericanlife.org/27/Hewo4IwuVnRhQCPsJQ2PlHM7qIFxSPr1pwGAWj2Zyys/27.mp3
28,https://www.thisamericanlife.org/episode/28,https://www.thisamericanlife.org/28/detectives,"July 12, 1996",Detectives,"Writer David Sedaris recalls the days when his mother and sister played armchair detective — until a very odd crime wave hit within their own home. Plus, host Ira Glass goes out on surveillance with a real-life private eye.
",https://stream.thisamericanlife.org/28/6c-i9DvafJl4v4y6v-olWcGwoUtOa0rzrxdtPnIzDEw/28.mp3
29,https://www.thisamericanlife.org/episode/29,https://www.thisamericanlife.org/29/bob-dole,"July 19, 1996",Bob Dole,"Unusual perspectives on the presumptive Republican nominee.
",https://stream.thisamericanlife.org/29/qi_JNeVFbagkzUcH6NnMomSeWWXM6v_6i4E-zky4W0E/29.mp3
30,https://www.thisamericanlife.org/episode/30,https://www.thisamericanlife.org/30/obsession,"July 26, 1996",Obsession,"Stories of obsession and compulsion. What happens when a little idea starts to control you. Co-hosted by Paul Tough.
",https://stream.thisamericanlife.org/30/WjtBmCtcHklUZhkem9MK8VFeaQKfATGy5bHkz3cPbZA/30.mp3
31,https://www.thisamericanlife.org/episode/31,https://www.thisamericanlife.org/31/when-you-talk-about-music,"August 9, 1996",When You Talk About Music,"Stories of people whose lives are transformed by music.
",https://stream.thisamericanlife.org/31/UdKqhYIOQkcwQuRcicUJh5Zqy44_sWm-MeE47-b_7no/31.mp3
32,https://www.thisamericanlife.org/episode/32,https://www.thisamericanlife.org/32/republican-convention,"August 16, 1996",Republican Convention,"Unusual stories about day-to-day life at the Republican Convention.
",https://stream.thisamericanlife.org/32/BmcL5qsRlei-W2PU-bIKrs5Td1BvnQcFLxGIoOpNSJA/32.mp3
33,https://www.thisamericanlife.org/episode/33,https://www.thisamericanlife.org/33/a-night-at-the-wiener-circle,"August 23, 1996",A Night at the Wiener Circle,"Host Ira Glass spent a Saturday night — from 9:00 p.m. until dawn the next morning — at one of the most frenetic, joyous, efficient, angry, boisterous hot dog stands in the nation: Chicago's own Wiener Circle.",https://stream.thisamericanlife.org/33/oB72_yp4Wq_JTo5ry0tPOyadKDmIJ3v86-FKzikwTz4/33.mp3
34,https://www.thisamericanlife.org/episode/34,https://www.thisamericanlife.org/34/democratic-convention,"August 30, 1996",Democratic Convention,"Unusual stories from the 1996 Democratic Convention in Chicago, with scenes and moments not documented elsewhere.",https://stream.thisamericanlife.org/34/mdzM175hWqj0wS-0jluNMyYiss1ZuwbmSV5bVYMgXcw/34.mp3
35,https://www.thisamericanlife.org/episode/35,https://www.thisamericanlife.org/35/fall-clearance-sale,"September 6, 1996",Fall Clearance Sale,"Evocative, funny, emotional stories collected over the last few months that haven't fit into any of our regular ""theme"" shows.",https://stream.thisamericanlife.org/35/8t_w5HJCTwzC8_p0szjQb7fu7UILeiQNvQ3_W8yrXkI/35.mp3
36,https://www.thisamericanlife.org/episode/36,https://www.thisamericanlife.org/36/letters,"September 20, 1996",Letters,"Host Ira Glass and playwright David Hauptschein took out advertisements in Chicago inviting people to come to a small theater with letters they've received, sent, or found.
",https://stream.thisamericanlife.org/36/rcgydiKx3sD95DE-o1mz7f6PltCqySHAu0Feb36rTRw/36.mp3
37,https://www.thisamericanlife.org/episode/37,https://www.thisamericanlife.org/37/the-job-that-takes-over-your-life,"September 27, 1996",The Job That Takes Over Your Life,"Radio producer Scott Carrier quit his job at a low moment in his life. His wife left him and took the kids. And he got a job interviewing schizophrenics for some medical researchers. After doing it a while, he began to wonder if he was a schizophrenic himself. And more stories.
",https://stream.thisamericanlife.org/37/j-bNZF2u_6lCByvWbLhNCL-aLjiC52nfyPvQ-muEbW0/37.mp3
38,https://www.thisamericanlife.org/episode/38,https://www.thisamericanlife.org/38/simulated-worlds,"October 11, 1996",Simulated Worlds,"Simulated worlds, Civil War reenactments, wax museums, simulated coal mines, fake ethnic restaurants, an ersatz Medieval castle and other re-created worlds that thrive all across America.
",https://stream.thisamericanlife.org/38/DGvru7I8u7GxDXCC0ATf5xxF0W32zv5m05xfb--bno0/38.mp3
39,https://www.thisamericanlife.org/episode/39,https://www.thisamericanlife.org/39/halloween,"October 25, 1996",Halloween,"This week: A show for Halloween. Stories of things that are supposed to be scary, but aren't.",https://stream.thisamericanlife.org/39/1TiPomJgiT23NqXoANmPoG05kkNvsuf2EUv8RsLpcfw/39.mp3
40,https://www.thisamericanlife.org/episode/40,https://www.thisamericanlife.org/40/lessons,"November 1, 1996",Lessons,Stories from acclaimed storyteller Spalding Gray and others.,https://stream.thisamericanlife.org/40/IAg1dDCe_9yewTV5bSSykmaABg9b3cv2hurjjN6vjL0/40.mp3
41,https://www.thisamericanlife.org/episode/41,https://www.thisamericanlife.org/41/politics,"November 8, 1996",Politics,More stories of the election you can't hear anywhere else.,https://stream.thisamericanlife.org/41/BIgKmFZNhPfte9SZHq_lErXFHxIyyCmfAfoqhD_5Bn8/41.mp3
42,https://www.thisamericanlife.org/episode/42,https://www.thisamericanlife.org/42/get-over-it,"November 15, 1996",Get Over It!,"Three stories of people trying to forget the past and move on.
",https://stream.thisamericanlife.org/42/Lkq3xISe80tCllqhGz047iP3nFrj9jsnB85L_tJF95E/42.mp3
43,https://www.thisamericanlife.org/episode/43,https://www.thisamericanlife.org/43/faustian-bargains,"November 22, 1996",Faustian Bargains,"Inspired by a spate of new Chicago stage adaptations of the Faust story, This American Life brings you stories of people who made a deal with the devil.",https://stream.thisamericanlife.org/43/gRfykJtTEjLDxik2yYKgMzd7O4xgUAL_BTJ1L0iUttc/43.mp3
44,https://www.thisamericanlife.org/episode/44,https://www.thisamericanlife.org/44/poultry-slam-1996,"November 29, 1996",Poultry Slam 1996,"In the midst of the five biggest poultry-consumption weeks of the year—the five weeks between Thanksgiving and Christmas, when Americans consume one-fourth of all the turkey they eat in a year—This American Life presents stories about turkeys, chickens, ducks, and fowl of all kinds.
",https://stream.thisamericanlife.org/44/snHF5c4X1um0qSpf0H6zt8RAp_pZUaM7uKZrW4AiaR8/44.mp3
45,https://www.thisamericanlife.org/episode/45,https://www.thisamericanlife.org/45/media-fringe,"December 6, 1996",Media Fringe,"Four stories about people struggling at the fringes of our nation's media/music/infotainment industry.
",https://stream.thisamericanlife.org/45/8Cq8Z9H4HF1HgVPqeKb0tkZpipCcgC1aG6IzGuhZuOI/45.mp3
46,https://www.thisamericanlife.org/episode/46,https://www.thisamericanlife.org/46/sissies,"December 13, 1996",Sissies,"Though being gay no longer has much of a stigma in some parts of the country, being a sissy still does — even among gay men. In this show we have a number of surprising and unusual stories of sissies, their families, and why people still get so upset about them.
",https://stream.thisamericanlife.org/46/odA-1CdYUxzVfT6KgilM04Qf6mgnZIEFCJqVlmPIFXg/46.mp3
47,https://www.thisamericanlife.org/episode/47,https://www.thisamericanlife.org/47/christmas-and-commerce,"December 20, 1996",Christmas and Commerce,"Stories about the intersection of Christmas and retail, originally broadcast in 1996 when our show was only a year old. Including David Sedaris's story ""Santaland Diaries,"" which first aired on NPR's Morning Edition in a much shorter version.
",https://stream.thisamericanlife.org/47/b4Z3tVIuVyVYx0Ynp0Pwoumxn2_EwCyHbNOtIfBn_Ow/47.mp3
48,https://www.thisamericanlife.org/episode/48,https://www.thisamericanlife.org/48/justice,"January 3, 1997",Justice,Kitty Felde shows a side of the Yugoslav War Crimes Trials that hasn't been discussed anywhere: a portrait of Americans at the International Tribunal. And other stories.,https://stream.thisamericanlife.org/48/T-g1dbMnGYGlSNzXuu0cLjUHYzTQrK0JOX212tImbG8/48.mp3
49,https://www.thisamericanlife.org/episode/49,https://www.thisamericanlife.org/49/animals,"January 10, 1997",Animals,"Stories about the animalness of animals, the irreducible ways in which they are not human.",https://stream.thisamericanlife.org/49/bSoA8P8nErcfXWe3RcAGfyWuZaOsPaA4m6NX0gyTB9g/49.mp3
50,https://www.thisamericanlife.org/episode/50,https://www.thisamericanlife.org/50/shoulda-been-dead,"January 17, 1997",Shoulda Been Dead,"Kevin Kelly was in Jerusalem. For reasons too complicated to go into here, he ended up sleeping on the spot where Jesus was supposedly crucified. After Kevin awoke, he got rid of all his possessions. He visited his parents and brothers and sisters for the last time. That, and other stories of starting life over, including a visit to a courtroom in Los Angeles where people go to change their names.
",https://stream.thisamericanlife.org/50/WcIhxwLUoSRftUsB7cVS4yKvDgr18fkEfs0W8WUP2yY/50.mp3
51,https://www.thisamericanlife.org/episode/51,https://www.thisamericanlife.org/51/animals-die-people-ponder,"January 24, 1997","Animals Die, People Ponder","Stories of people who handle dead animals. Don't worry — it's not as gross as it sounds. In fact, not disgusting at all. A story by George Saunders about an animal control man who falls in unrequited love. A woman who studies illuminated manuscripts, whose pages look like paper but are in fact animals. And other stories.
",https://stream.thisamericanlife.org/51/Y_Y3ECyTwvkaP6d6eX5ZFzAZKqe5S2_QzrYKwPAsFdM/51.mp3
52,https://www.thisamericanlife.org/episode/52,https://www.thisamericanlife.org/52/edge-of-sanity,"January 31, 1997",Edge of Sanity,Stories about the border between mental health and mental illness.,https://stream.thisamericanlife.org/52/5oErVsEJedJbJFBwo_MXCpHU3BtE0revJ8rST6k7Qcw/52.mp3
53,https://www.thisamericanlife.org/episode/53,https://www.thisamericanlife.org/53/valentines-day-97,"February 7, 1997",Valentine’s Day ‘97,"For Valentine's Day, stories about our parents falling in love. And troubles with their love. From Hilton Als, Scott Carrier, Julie Showalter, a magazine column called Men My Mother Dated and others. The idea for this show was inspired by Delmore Schwartz's classic 1937 work of American fiction about his parents' courtship: In Dreams Begin Responsibilities and Other Stories.
",https://stream.thisamericanlife.org/53/rRjStEcSk3Pems8KXGM82GS1V2JaBmJ7mZxBJ5J0ZIU/53.mp3
54,https://www.thisamericanlife.org/episode/54,https://www.thisamericanlife.org/54/sinatra,"February 21, 1997",Sinatra,"Stories, tributes, and attempts to understand the Chairman of the Board.
",https://stream.thisamericanlife.org/54/DzW_9DYdVblRUf05sjEpN3aIMi3Q4Dwy6Q1OO25YdSY/54.mp3
55,https://www.thisamericanlife.org/episode/55,https://www.thisamericanlife.org/55/three-women-and-the-sex-industry,"February 28, 1997",Three Women and the Sex Industry,"A few months ago, radio producer Sandy Tolan was supposed to do a documentary about strippers with an aspiring writer — and stripper — named Susan. A few days before they were to begin working together, Susan disappeared, presumed dead.",https://stream.thisamericanlife.org/55/QmEVE8-bZcQmnqSlCxUVf-hgpW04eK3gkoPOUw1t9Qo/55.mp3
56,https://www.thisamericanlife.org/episode/56,https://www.thisamericanlife.org/56/name-change,"March 7, 1997",Name Change,"Stories of people changing their name — some to create a new identity, some to con people. Name changes are particularly American stories: they're the dream of starting over with a clean slate. They're Ellis Island and 12-step programs, the move westward and self help, Marilyn Monroe and Malcolm X and the Artist Formerly Known as Prince, all rolled up in one.
",https://stream.thisamericanlife.org/56/R4g_1sjKO-PbZxYCU0CFoKKIoVlbYtCepD3NTT4zUns/56.mp3
57,https://www.thisamericanlife.org/episode/57,https://www.thisamericanlife.org/57/delivery,"March 14, 1997",Delivery,"Stories about the delivery business and the people in it. UPS men, bike messengers, FedEx dispatchers.
",https://stream.thisamericanlife.org/57/XB0LJ7bLI_L8uQ9iHLKul7IaZfrnlDlqmptdVZpKsFg/57.mp3
58,https://www.thisamericanlife.org/episode/58,https://www.thisamericanlife.org/58/small-towns,"April 4, 1997",Small Towns,"Stories of small town life: the claustrophobia and freedom people feel in small towns, the yearning people feel in small towns. And three teenagers in one of the harshest urban environments explain how the public housing projects are like a small town.",https://stream.thisamericanlife.org/58/5t87QSAPe35zyySmY1VrtxR4u3HJ7_drdr1OrcHh6cY/58.mp3
59,https://www.thisamericanlife.org/episode/59,https://www.thisamericanlife.org/59/fire,"April 11, 1997",Fire,"Stories about people who are not afraid of fire, though perhaps they should be.",https://stream.thisamericanlife.org/59/VhHjUUNPUbk0hnLSp3AOP8Cvbv76q_YUCnVEdsm4LkQ/59.mp3
60,https://www.thisamericanlife.org/episode/60,https://www.thisamericanlife.org/60/business-of-death,"April 18, 1997",Business of Death,"Usually we talk about death as a tragedy, a mystery, a hard-to-comprehend fact of life. But in addition to all that, for all sorts of people it's also ... a job. This week, stories of undertakers, homicide detectives, slaughterhouse workers, enunculators, autopsy pathologists, exterminators, and others. Does their contact with death teach them something we should learn?",https://stream.thisamericanlife.org/60/m0Q16S9tZGAil0-2cw4oVZmAHIBZHPTIctbLAyHYW0I/60.mp3
61,https://www.thisamericanlife.org/episode/61,https://www.thisamericanlife.org/61/fiasco-1997,"April 25, 1997",Fiasco! (1997),"Stories of when things go wrong. Really wrong. When you leave the normal realm of human error, fumble, mishap, and mistake and enter the territory of really huge breakdowns. Fiascos. Things go so awry that normal social order collapses. This week's show is a philosophical inquiry in the nature of fiascos — perhaps the first ever.
",https://stream.thisamericanlife.org/61/ihIU0ITMqXt_6O33QWxHo5e4AIDvTbSXhHRbY17lxe4/61.mp3
62,https://www.thisamericanlife.org/episode/62,https://www.thisamericanlife.org/62/something-for-nothing,"May 2, 1997",Something for Nothing,"Stories of people trying to get rich quick or otherwise make something for nothing. As everyone knows, there's no such thing as something for nothing. You always pay a price.
",https://stream.thisamericanlife.org/62/wkcQQhTMlaoS5WkvKdslmbNHunpE6Rj49qMzjPseWmA/62.mp3
63,https://www.thisamericanlife.org/episode/63,https://www.thisamericanlife.org/63/one-thing,"May 9, 1997",One Thing,People whose lives are organized around one thing.,https://stream.thisamericanlife.org/63/dMYrnQScrdCzHoK2kxKNAnKr_bEDF39WkKHlkuGFFLA/63.mp3
64,https://www.thisamericanlife.org/episode/64,https://www.thisamericanlife.org/64/summer,"May 23, 1997",Summer,"Stories for the start of summer. We want summer to be this wonderful break, but so often it fails to deliver. We hear Ron Carlson's short story about a summer job delivering tanks of oxygen to the infirm, Scott Carrier takes a river vacation, and more.
",https://stream.thisamericanlife.org/64/7XEFXqfQRfY3fXleZjCpLq4Dq42vO69pMZBe2NY2Kro/64.mp3
65,https://www.thisamericanlife.org/episode/65,https://www.thisamericanlife.org/65/whos-canadian,"May 30, 1997",Who's Canadian?,"Notes and stories about the Canadians among us. Are they in fact any different from red-blooded Americans? They claim they're not. Skeptical Americans put their position to the test.
",https://stream.thisamericanlife.org/65/Wk_cLFppOvDYoPtL1PJXxWze98air-q6fq-5QelEUaA/65.mp3
66,https://www.thisamericanlife.org/episode/66,https://www.thisamericanlife.org/66/tales-from-the-net,"June 6, 1997",Tales from the Net,"Are people having experiences on the Internet they wouldn't have anywhere else? Several weeks ago, This American Life invited listeners to help answer that question.",https://stream.thisamericanlife.org/66/hz8R25B2bY57aAmmzyHRkOZ-J4HzuAgH2GrUl4RFMvs/66.mp3
67,https://www.thisamericanlife.org/episode/67,https://www.thisamericanlife.org/67/your-dream-my-nightmare,"June 27, 1997","Your Dream, My Nightmare","Could it be more obvious? Stories in which someone's dream is someone else's nightmare. All of us get into these situations with strangers, with the people we love most, with our own parents, with our children.
",https://stream.thisamericanlife.org/67/Bsy8RVUU0XY-bZ9GQ3O1us3ZzTaiHLLQlfOFM63X4fk/67.mp3
68,https://www.thisamericanlife.org/episode/68,https://www.thisamericanlife.org/68/lincolns-second-inaugural,"July 4, 1997",Lincoln's Second Inaugural,"A show for July 4th weekend. We begin with perhaps the most moving, poetic inaugural speech in American history, and look at its legacy today. In his second inaugural address, Lincoln wondered aloud why God saw fit to send the slaughter of the Civil War to the United States. His conclusion: that slavery was a kind of original sin for the United States, for both North and South, and all Americans had to do penance for it.",https://stream.thisamericanlife.org/68/gCLetJn_hIMNKoVOo8JGcqgxJnm-iVeuiYnAzM5X46E/68.mp3
69,https://www.thisamericanlife.org/episode/69,https://www.thisamericanlife.org/69/dream-house,"July 18, 1997",Dream House,"How many of our parents move to some place — some dream house — with some vision of a new life in the new place, and move the family with them, hoping it works out for the kids. Three stories on this theme.",https://stream.thisamericanlife.org/69/livLQZuVbE37jaPCm1oS9ChbxiXCYYKyaKr-7k-EA5E/69.mp3
70,https://www.thisamericanlife.org/episode/70,https://www.thisamericanlife.org/70/other-peoples-mail,"July 25, 1997",Other People's Mail,"When you read other people's mail, you can't help but try to fill in between the lines. You try to decipher the stories of the people who wrote the letters. We hear four stories of people who read other people's mail, and what happens to them once they get caught up in these other lives.",https://stream.thisamericanlife.org/70/T0Sn3jZJAlKBqATFaLaK0f40uwQ6_ZO8xDjSAkbayM4/70.mp3
71,https://www.thisamericanlife.org/episode/71,https://www.thisamericanlife.org/71/defying-sickness,"August 1, 1997",Defying Sickness,Stories of people trying to do exactly what the doctors say they can't — or shouldn't.,https://stream.thisamericanlife.org/71/tVV_IQqCSqTsXj6N7L64I-gXGSi2pYrJGn4teLDm3V4/71.mp3
72,https://www.thisamericanlife.org/episode/72,https://www.thisamericanlife.org/72/trek,"August 8, 1997",Trek,"An idiosyncratic first-person travelogue about race relations and tourism from radio producer Rich Robinson and television producer Josh Seftel. Their radio story is about a trip they took to the new South Africa. Rich Robinson is black. Josh Seftel is white. The interracial pair travel through the still mostly-segregated society and have very different opinions about what they see, especially when it comes to some distant relatives of Josh's in South Africa.
",https://stream.thisamericanlife.org/72/xEmED5pd3wqGomQJVJvEq0a_tdU8UQSHmNU_7n6lBfg/72.mp3
73,https://www.thisamericanlife.org/episode/73,https://www.thisamericanlife.org/73/blame-it-on-art,"August 22, 1997",Blame It on Art,"The darker side of the art world: petty jealousies, competitiveness, failure. And also what's so great about art.
",https://stream.thisamericanlife.org/73/CRfar5zQtpCdkRkRUc6bp5Rz9YbG1Sx42IDs5Pf--qw/73.mp3
74,https://www.thisamericanlife.org/episode/74,https://www.thisamericanlife.org/74/conventions,"August 29, 1997",Conventions,"What happens when people with one common interest gather in monstrous, fluorescent-lit halls for the weekend? Sometimes they drive each other crazy, sometimes they fall in love.
",https://stream.thisamericanlife.org/74/K8r2i_3wOtbZK3RJrJ_COGcwD6ea-vJD9I3F4TgPHHQ/74.mp3
75,https://www.thisamericanlife.org/episode/75,https://www.thisamericanlife.org/75/kindness-of-strangers,"September 12, 1997",Kindness of Strangers,"Stories of the kindness of strangers and where it leads. Also, the unkindness of strangers and where that can lead. All of today's stories take place in the city most people think of as the least kind city in America: New York.
",https://stream.thisamericanlife.org/75/5H_dsOmKUj6EZv9iHWrMZ8jPRCaqrej5s_0nG5JazSY/75.mp3
76,https://www.thisamericanlife.org/episode/76,https://www.thisamericanlife.org/76/mob,"September 19, 1997",Mob,"The mob as portrayed in movies, and as it is in real life. And its hold over us.
",https://stream.thisamericanlife.org/76/uZtBo9z0dHMKv6h-c_OPES4YDnTJ3ec0hVRUuYhync0/76.mp3
77,https://www.thisamericanlife.org/episode/77,https://www.thisamericanlife.org/77/pray,"September 26, 1997",Pray,"Can the secular world and the religious world understand each other? We ask that question while visiting Colorado Springs, Colorado, where Pastor Ted Haggard at the New Life Church has put in place a project to pray in front of the home of every person in the city, systematically, block by block and house by house. He's also helped organize a 24-hour, 365-day-a-year ""prayer shield"" over the city; all-night prayer vigils; and more.
",https://stream.thisamericanlife.org/77/VeEXeuh8ZMEbWXtigHCZoMq8FYBOaPVeg53Wj_DOi7g/77.mp3
78,https://www.thisamericanlife.org/episode/78,https://www.thisamericanlife.org/78/how-bad-is-bad,"October 3, 1997",How Bad Is Bad?,"How bad is bad enough to count? To go to hell?
",https://stream.thisamericanlife.org/78/61zxSnPPG8EwOtGGyjuHptlY3Jg5v-vZhah8eNaRWe0/78.mp3
